threshold,dynamic_total_var,dynamic_mean_within_var,dynamic_between_graph_var,dynamic_sum_within_plus_between,static_total_var,static_mean_within_var,static_between_graph_var,static_sum_within_plus_between,dynamic_grand_mean,static_grand_mean,delta_grand_mean
T10,0.8256672332419187,0.8227156043595658,0.007391525875033199,0.830107130234599,0.7656385883556194,0.7532133063970644,0.01756503244040282,0.7707783388374673,2.398760371621353,2.4214434327905563,-0.022683061169203267
T20,0.8314318671455849,0.8276238536254275,0.00836712983856868,0.8359909834639961,0.7730294270963329,0.7571824490159906,0.021384861790971054,0.7785673108069617,2.7698309572063033,2.795419229294829,-0.025588272088525876
T30,0.8317299166050771,0.8273962866398257,0.008949718266831132,0.8363460049066568,0.7775477034868957,0.7590057011979736,0.024386952159076214,0.7833926533570499,3.0215042037367956,3.0455908950594757,-0.024086691322680043
T40,0.8325341753968417,0.8275726145407927,0.009647952045616285,0.837220566586409,0.7803979115311065,0.7593325698352386,0.02719089509919838,0.7865234649344369,3.2332484075307164,3.2539666168160473,-0.020718209285330857
T50,0.8323691366916286,0.8267466962693664,0.010377765928070387,0.8371244621974367,0.7830630719141487,0.7598011220574231,0.029632693256728307,0.7894338153141515,3.431942491288138,3.4484971525533905,-0.016554661265252513
T60,0.833898319782577,0.8276882755863075,0.011035040460344252,0.8387233160466517,0.786432121715887,0.760632017753739,0.032455608877842865,0.7930876266315818,3.6369758589333085,3.648502654989062,-0.011526796055753241
T70,0.8361465903616501,0.8293347893644899,0.011711557387557497,0.8410463467520474,0.7900846440772492,0.761293389889597,0.03578075423895712,0.7970741441285542,3.8721763680858987,3.873222380519476,-0.0010460124335773813
T80,0.8394614670912034,0.8314660784147726,0.013036653705510206,0.8445027321202828,0.7959724671039973,0.7631826643921602,0.040230810889162236,0.8034134752813225,4.178221399751777,4.161005477490217,0.01721592226155977
T90,0.8456046739973532,0.8352789561139564,0.015643678141075503,0.8509226342550319,0.8031102684110101,0.7638257167813345,0.04744680564375196,0.8112725224250864,4.698037821954578,4.638215584766724,0.05982223718785473
T99,0.9996204371196914,0.9758801578513776,0.031244299821123242,1.007124457672501,0.9270037357981356,0.8465611179093111,0.0935688017894131,0.9401299196987242,6.937261016517773,6.612719642049189,0.3245413744685841
